Year;Ranking;Song
1942;12;White Christmas (Bing Crosby)
1944;6;Have Yourself a Merry Little Christmas (Judy Garland)
1961;5;The Christmas Song (Nat King Cole)
1965;24;Christmas Time Is Here (Vince Guaraldi)
1971;3;Happy Xmas (War Is Over) (John Lennon)
1977;11;The Little Drummer Boy (David Bowie & Bing Crosby)
1983;30;Grandma Got Run Over By a Reindeer (Elmo and Patsy)
1984;1;Last Christmas (Wham)
1987;9;Christmas (Baby Please Come Home) (U2)
1988;16;Fairytale of New York (The Pogues and Kirsty MacColl)
1993;46;Please Come Home for Christmas (Aaron Neville)
1994;4;All I Want for Christmas is You (Mariah Carey)
1995;40;The Holly and the Ivy (Natalie Cole and Jose Carreras)
1997;20;Joy to the World (Michael Bolton)
1998;7;O Holy Night (Celine Dion)
2000;47;Merry Christmas, Baby (Christina Aguilera)
2003;8;Santa Clause is Coming to Town (Bruce Springsteen)
2004;32;Carol of the Bells (Destiny’s Child)
2005;17;Jingle Bells (Diana Krall)
2006;10;Jingle Bell Rock (Billy Idol)
2007;18;Silent Night (NLT)
2009;29;Blue Christmas (Elvis Presley and Martina McBride)
2010;34;Oh Santa! (Mariah Carey)
